gene,ensembl_id,condition,collapse_score,rank_in_cond,pctile_in_cond,n_de,effector_mean,is_anchor,stim_class,cs_Rest,cs_Stim8hr,cs_Stim48hr
RBM10,ENSG00000182872,Stim48hr,0.3419814079659476,25.0,97.86856127886323,1505,-0.6059892782763663,False,activation-gated,0.03785533895402876,-0.034721268953092695,0.3419814079659476
NPC2,ENSG00000119655,Stim48hr,0.3403003978590164,26.0,97.7797513321492,2420,-0.6689263742493201,False,activation-gated,-0.045964439442659176,-0.024307523164732604,0.3403003978590164
KLF2,ENSG00000127528,Rest,0.3402652921533006,5.0,99.63302752293578,987,-0.32377037126842007,False,rest-only(detected),0.3402652921533006,,
RAC2,ENSG00000128340,Stim48hr,0.3399407747063309,27.0,97.69094138543517,1095,0.6584508503529518,False,stim-only(detected),,0.0030722632183017673,0.3399407747063309
CFAP298,ENSG00000159079,Stim8hr,0.3385641553014108,15.0,98.80341880341881,1425,-0.5194835703301277,False,activation-gated,0.1763245587119195,0.3385641553014108,
EIF4G1,ENSG00000114867,Stim8hr,0.33692390831798796,16.0,98.71794871794873,1679,-1.63841507207562,False,activation-gated,0.14754197778385045,0.33692390831798796,
FBXO32,ENSG00000156804,Stim48hr,0.3365135045945146,28.0,97.60213143872114,387,-0.4473870609638894,False,weak/mixed,0.23418908527810928,0.1246637917517421,0.3365135045945146
CD3E,ENSG00000198851,Stim48hr,0.335815765407838,29.0,97.51332149200711,1586,-0.4879453194230828,False,stim-only(detected),,-0.25935104452764723,0.335815765407838
BCL10,ENSG00000142867,Stim48hr,0.3357277588534786,30.0,97.42451154529307,2980,-0.6367223648995244,False,stim-only(detected),,-0.13885303956127612,0.3357277588534786
CTU2,ENSG00000174177,Stim8hr,0.33539202509973065,17.0,98.63247863247864,762,-0.7438753653354475,False,activation-gated,0.011469870965227027,0.33539202509973065,
NDUFAF3,ENSG00000178057,Stim48hr,0.3353915905872473,31.0,97.33570159857904,1923,-1.2485588800178844,False,stim-only(detected),,,0.3353915905872473
TASOR,ENSG00000163946,Stim48hr,0.3350103507453072,32.0,97.24689165186501,360,-0.5023897991707457,False,activation-gated,0.11889734066080243,0.023957560585295055,0.3350103507453072
QRSL1,ENSG00000130348,Stim48hr,0.3347292003413774,33.0,97.15808170515098,269,-0.8185983255531034,False,stim-only(detected),,0.11568575288841487,0.3347292003413774
CDK5RAP3,ENSG00000108465,Stim8hr,0.33407374105160687,18.0,98.54700854700855,240,-0.9013644572268179,False,activation-gated,-0.004225280961046015,0.33407374105160687,-0.1982503211787736
TMEM140,ENSG00000146859,Stim48hr,0.33338349995006095,34.0,97.06927175843695,230,0.4025814629435104,False,stim-only(detected),,,0.33338349995006095
SHOC2,ENSG00000108061,Stim48hr,0.3333166376857156,35.0,96.98046181172292,664,0.4547167081523554,False,stim-only(detected),,-0.24304791054800515,0.3333166376857156
ATP5ME,ENSG00000169020,Stim48hr,0.33207298707102173,36.0,96.89165186500888,733,0.0005932009936555688,False,activation-gated,-0.032908910965904974,-0.10574540251827125,0.33207298707102173
CCDC136,ENSG00000128596,Stim48hr,0.33198923251421053,37.0,96.80284191829485,263,0.2668433069886981,False,stim-only(detected),,,0.33198923251421053
ZAP70,ENSG00000115085,Stim48hr,0.33019119935961966,38.0,96.71403197158082,2486,0.36473461349098407,False,activation-gated,0.15449630853137786,-0.2259509290387489,0.33019119935961966
KTN1,ENSG00000126777,Stim8hr,0.33007866858672,19.0,98.46153846153847,108,-0.6702822160612306,False,stim-only(detected),,0.33007866858672,
CARMIL2,ENSG00000159753,Stim48hr,0.3297390667908278,39.0,96.62522202486679,1918,-1.0271584607773447,False,activation-gated,0.16017636428642926,-0.2731818022004456,0.3297390667908278
UQCRC2,ENSG00000140740,Stim48hr,0.3292590608743576,40.0,96.53641207815275,124,-1.2150351000703687,False,stim-only(detected),,0.12021947378240831,0.3292590608743576
SENP1,ENSG00000079387,Stim48hr,0.3287221025732148,41.0,96.44760213143873,367,0.14097980898138815,False,activation-gated,0.0381375328896843,-0.017552135927206308,0.3287221025732148
GNE,ENSG00000159921,Stim48hr,0.3282178958837894,42.0,96.35879218472468,363,0.6763824275362587,False,stim-only(detected),,,0.3282178958837894
CBX5,ENSG00000094916,Stim48hr,0.32793713578617856,43.0,96.26998223801066,562,-1.3422990353487345,False,stim-only(detected),,0.1398732949878528,0.32793713578617856
DOHH,ENSG00000129932,Stim8hr,0.327825408163523,20.0,98.37606837606837,1563,-1.2097788328720491,False,activation-gated,0.11198012156945802,0.327825408163523,0.20389388989421434
