gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
NUDT8,Stim8hr,-2.1174585530070678,-0.4549968228571329,True,untested,0.5,not_in_atlas,0.02,-0.98,0,unannotated,False,3.029364638251767,0.8,2.7264281744265904
ARHGAP21,Stim48hr,-2.0781492065910165,0.04017388860652758,True,untested,0.5,not_in_atlas,0.022,-0.95,0,unannotated,False,3.019537301647754,0.8,2.7175835714829786
KCTD12,Stim8hr,-2.0050601259327103,-0.4577747046700638,True,untested,0.5,not_in_atlas,0.046,-0.49,0,unannotated,False,3.0012650314831775,0.8,2.7011385283348597
HNRNPAB,Rest,-2.4819915223785953,-0.799760438907525,True,untested,0.375,not_in_atlas,-0.001,-1.38,0,unannotated,False,2.995497880594649,0.8,2.6959480925351844
C21orf91,Stim8hr,-2.3245040831011763,-0.9022340111696447,True,untested,0.375,not_in_atlas,0.084,0.24,0,unannotated,False,2.986126020775294,0.8,2.6875134186977645
PSAP,Rest,-2.4194923548828178,-0.7719262473961946,True,untested,0.375,not_in_atlas,0.041,-0.58,0,unannotated,False,2.9798730887207046,0.8,2.681885779848634
OAS2,Stim48hr,-2.410907573724926,-0.69470576477211,True,untested,0.375,not_in_atlas,0.056,-0.3,0,unannotated,False,2.9777268934312318,0.8,2.6799542040881086
YAF2,Stim8hr,-2.053888246706387,-0.7805577280665065,True,untested,0.375,not_in_atlas,0.103,0.6,0,unannotated,False,2.963472061676597,0.8,2.6671248555089373
CEP131,Stim8hr,-2.0150621486214244,-0.8033617679304809,True,untested,0.375,not_in_atlas,0.107,0.67,0,unannotated,False,2.9625155371553564,0.8,2.666263983439821
BCL7A,Rest,-2.297651313227924,-0.7922854179062758,True,untested,0.375,not_in_atlas,0.059,-0.24,0,unannotated,False,2.949412828306981,0.8,2.654471545476283
AGPS,Rest,-2.27933978490129,0.5799910724426882,True,untested,0.375,not_in_atlas,0.068,-0.07,0,unannotated,False,2.9448349462253223,0.8,2.65035145160279
TM7SF3,Stim8hr,-2.2265612810923683,-0.5631244081377268,True,untested,0.375,not_in_atlas,0.058,-0.26,0,unannotated,False,2.9316403202730923,0.8,2.638476288245783
